,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
529,4.04e-07,41.49649028
530,1.42e-06,42.25598834
531,-1.97e-07,43.02354709
532,-1.18e-07,43.2591837
533,4.43e-07,43.51333716
534,-1.19e-06,44.29405877
535,-2.8e-07,44.55132814
536,-3.14e-07,44.82418256
537,1.78e-06,45.09175518
538,9.78e-06,45.91526124
539,1.99e-05,46.74223594
540,2.9e-05,47.49988693
541,3.74e-05,48.23632582
542,4.62e-05,48.96009924
543,5.74e-05,49.65179545
544,6.82e-05,50.33445952
545,7.92e-05,50.99287451
546,8.98e-05,51.62270757
547,0.000101,52.23433004
548,0.000111,52.83231332
549,0.000122,53.40867871
550,0.000132,54.01279203
551,0.000143,54.5734185
552,0.000153,55.10422988
553,0.000164,55.64083775
554,0.000176,56.14527189
555,0.000185,56.64967841
556,0.000195,57.14374778
557,0.000208,57.61948657
558,0.000216,58.08431487
559,0.000227,58.5241726
560,0.000237,58.95246709
561,0.000249,59.37257548
562,0.000259,59.78239221
563,0.000269,60.17881758
564,0.00028,60.55752238
565,0.000291,60.94397532
566,0.0003,61.31916958
567,0.00031,61.67628265
568,0.000321,62.03025169
569,0.00033,62.36480438
570,0.000342,62.70341304
571,0.000352,63.03207361
572,0.000362,63.35480033
573,0.000373,63.66454108
574,0.000384,63.96117621
575,0.000395,64.24831749
576,0.000405,64.53388194
577,0.000414,64.81374686
578,0.000426,65.0842585
579,0.000436,65.35201083
580,0.000446,65.5950673
581,0.000456,65.84136289
582,0.000467,66.08375556
583,0.000477,66.31648031
584,0.000488,66.55015297
585,0.000498,66.76859951
586,0.000508,66.99015609
587,0.000519,67.2194702
588,0.000529,67.44350611
589,0.000539,67.66578395
590,0.000549,67.88180244
591,0.000558,68.09150147
592,0.00057,68.30398472
593,0.000582,68.50247555
594,0.000591,68.70315251
595,0.000602,68.90500238
596,0.000612,69.09378652
597,0.000623,69.2845817
598,0.000633,69.47322147
599,0.000641,69.65336639
600,0.000654,69.83701214
601,0.000664,70.01283533
602,0.000675,70.18175538
603,0.000685,70.35192644
604,0.000696,70.52421188
605,0.000706,70.69186199
606,0.000717,70.86276359
607,0.000727,71.03486844
608,0.000736,71.20507327
609,0.000746,71.37106553
610,0.000757,71.52882466
611,0.000768,71.69096275
612,0.000779,71.85096453
613,0.000788,72.00305586
614,0.000798,72.1607048
615,0.000809,72.31988576
616,0.000818,72.47231943
617,0.000829,72.62338089
618,0.00084,72.77607793
619,0.00085,72.93913222
620,0.000861,73.10637053
621,0.000871,73.27502604
622,0.00088,73.44038441
623,0.000891,73.60072485
624,0.000901,73.77496407
625,0.000912,73.93823394
626,0.000921,74.09769491
627,0.000933,74.26554383
628,0.000943,74.42175986
629,0.000955,74.59307101
630,0.000964,74.75088837
631,0.000974,74.91164444
632,0.000985,75.07520535
633,0.000994,75.23091658
634,0.001,75.39246054
635,0.00101,75.55547853
636,0.00103,75.71672894
637,0.00104,75.87849126
638,0.00105,76.03097154
639,0.00106,76.18298048
640,0.00107,76.34327324
641,0.00108,76.49994773
642,0.00109,76.65588717
643,0.0011,76.81001122
644,0.00111,76.96543223
645,0.00112,77.12637199
646,0.00113,77.28588782
647,0.00114,77.43622875
648,0.00115,77.58762912
649,0.00116,77.74691137
650,0.00117,77.89915689
651,0.00118,78.04874435
652,0.00119,78.20303081
653,0.0012,78.35245253
654,0.00121,78.50952957
655,0.00122,78.65863973
656,0.00123,78.80521336
657,0.00124,78.9657974
658,0.00125,79.1098297
659,0.00126,79.26046791
660,0.00127,79.40830856
661,0.00128,79.55556003
662,0.00129,79.71123074
663,0.0013,79.86160948
664,0.00131,80.00061429
665,0.00133,80.14952374
666,0.00134,80.3007181
667,0.00135,80.4416392
668,0.00136,80.58632807
669,0.00137,80.73258954
670,0.00138,80.87932595
671,0.00139,81.01877056
672,0.0014,81.15901396
673,0.00141,81.30485571
674,0.00142,81.44435377
675,0.00143,81.5825354
676,0.00144,81.72325112
677,0.00145,81.86493843
678,0.00146,81.99926233
679,0.00147,82.14462787
680,0.00148,82.28761816
681,0.00149,82.42010131
682,0.0015,82.55738956
683,0.00151,82.70074788
684,0.00152,82.83529918
685,0.00153,82.96753567
686,0.00154,83.1050596
687,0.00155,83.24051511
688,0.00156,83.38451296
689,0.00157,83.5232875
690,0.00158,83.66345343
691,0.00159,83.8025685
692,0.0016,83.94062082
693,0.00161,84.08236277
694,0.00162,84.22059776
695,0.00163,84.36161193
696,0.00164,84.49442304
697,0.00165,84.63626015
698,0.00166,84.78328875
699,0.00167,84.92300093
700,0.00168,85.0657791
701,0.0017,85.20395723
702,0.00171,85.34139884
703,0.00172,85.48719994
704,0.00173,85.62401258
705,0.00174,85.76036017
706,0.00175,85.89602033
707,0.00176,86.03545015
