,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
447,7.85e-07,15.26112736
448,-2.59e-07,16.44897693
449,-6.52e-07,16.41584293
450,1.45e-06,15.27066707
451,-2.37e-07,16.47068683
452,5.89e-08,15.29563515
453,2.56e-07,15.28744508
454,4.26e-07,15.32844694
455,-8.78e-08,16.54635691
456,4.85e-07,15.32584101
457,4.49e-07,15.44048493
458,-1.53e-07,16.56015302
459,-5.2e-07,16.54623932
460,-7e-07,16.61691543
461,6.44e-07,15.42320793
462,1.22e-06,15.3931945
463,-4.35e-07,16.65457773
464,-9.32e-07,16.6975767
465,4.87e-07,15.52231649
466,-3.41e-07,16.76982938
467,4.52e-07,15.46254727
468,-1.07e-07,16.72638902
469,5.52e-07,15.54760527
470,-1.23e-06,16.83659275
471,-3.92e-07,16.81856206
472,4.3e-07,15.60121471
473,-8.93e-08,16.85741227
474,5.88e-07,15.61701386
475,8.93e-07,15.62843985
476,6.06e-07,15.67312913
477,1.07e-06,15.68207571
478,-1.04e-06,16.94450046
479,-2.26e-07,16.94738424
480,5.05e-07,15.74619901
481,1.97e-06,15.77903208
482,5.52e-07,15.76657514
483,-8.29e-07,17.03733097
484,2.43e-07,15.72680344
485,-2.16e-07,17.00688799
486,-1.85e-08,17.05779239
487,8.12e-07,15.73117945
488,6.96e-07,15.75654943
489,-7.92e-07,17.02573665
490,4.01e-07,15.72303571
491,2.5e-06,16.0941549
492,5.46e-06,16.1589094
493,9.34e-06,16.79422098
494,1.16e-05,17.13979245
495,1.48e-05,17.42017889
496,1.73e-05,17.78397929
497,2.01e-05,18.01492116
498,2.25e-05,18.30273909
499,2.49e-05,18.60722696
500,2.73e-05,18.85701045
501,3.14e-05,19.15425514
502,3.23e-05,19.50352772
503,3.55e-05,19.77017487
504,3.92e-05,20.1104175
505,4.11e-05,20.31287954
506,4.41e-05,20.57898819
507,4.73e-05,20.94462687
508,4.96e-05,21.20685555
509,5.23e-05,21.48851711
510,5.37e-05,21.78334351
511,5.86e-05,22.01576368
512,6.03e-05,22.31416717
513,6.21e-05,22.63543482
514,6.4e-05,22.9222107
515,6.73e-05,23.17011509
516,6.95e-05,23.41904576
517,7.29e-05,23.69049821
518,7.45e-05,23.90752526
519,7.76e-05,24.19119971
520,8.05e-05,24.40510699
521,8.33e-05,24.72285191
522,8.48e-05,24.95254592
523,8.75e-05,25.16458411
524,8.94e-05,25.38291978
525,9.52e-05,25.56520227
526,9.62e-05,25.6926757
527,9.77e-05,25.87617848
528,0.000101006,25.99976746
529,0.000104191,26.09731038
530,0.000106834,26.25135538
531,0.000108624,26.31186804
532,0.000111914,26.37211106
533,0.000113806,26.50273889
534,0.000115938,26.5945418
535,0.000120166,26.66156726
536,0.000121366,26.83899089
537,0.000125198,26.94316373
538,0.000127119,27.08481214
539,0.000129612,27.19535795
540,0.000132456,27.26557763
541,0.000133931,27.40659181
542,0.000137345,27.46441098
543,0.000140332,27.54836586
544,0.00014192,27.58627724
545,0.00014436,27.72207511
546,0.000147908,27.74418949
547,0.000149729,27.75620711
548,0.000152567,27.80654148
