,Rotation,Base moment [kN.m],Axial_Disp. [mm]
439,-1.569e-05,24.4026,0.001819
440,-1.488e-05,24.4088,0.001819
441,-1.487e-05,24.4071,0.001819
442,-1.511e-05,24.4017,0.001819
443,-1.479e-05,24.3906,0.001819
444,-1.426e-05,24.3718,0.001819
445,-1.393e-05,24.3518,0.0
446,-1.403e-05,24.3391,0.0
447,-1.473e-05,24.332,0.001819
448,-1.575e-05,24.3269,0.001819
449,-1.627e-05,24.326,0.001819
450,-1.659e-05,24.3318,0.0
451,-1.755e-05,24.3423,-0.003638
452,-1.874e-05,24.3512,-0.005457
453,-1.922e-05,24.3535,-0.005457
454,-1.834e-05,24.35,-0.007276
455,-1.624e-05,24.3464,-0.005457
456,-1.369e-05,24.3451,-0.001819
457,-1.144e-05,24.3452,0.0
458,-1.04e-05,24.3458,0.003638
459,-1.115e-05,24.3419,0.003638
460,-1.342e-05,24.332,0.003638
461,-1.576e-05,24.3275,0.003638
462,-1.646e-05,24.3406,0.003638
463,-1.611e-05,24.3699,0.003638
464,-1.575e-05,24.4093,0.0
465,-1.589e-05,24.4561,-0.005457
466,-1.71e-05,24.501,-0.010914
467,-1.776e-05,24.5308,-0.014552
468,-1.652e-05,24.5436,-0.01819
469,-1.487e-05,24.548,-0.01819
470,-1.353e-05,24.5518,-0.01819
471,-1.182e-05,24.5572,-0.020009
472,-1.034e-05,24.5628,-0.020009
473,-1.114e-05,24.5694,-0.020009
474,-1.449e-05,24.577,-0.020009
475,-1.767e-05,24.5864,-0.01819
476,-1.983e-05,24.5974,-0.01819
477,-2.171e-05,24.6072,-0.01819
478,-2.196e-05,24.6151,-0.01819
479,-2.054e-05,24.6182,-0.020009
480,-1.937e-05,24.6206,-0.020009
481,-1.879e-05,24.6269,-0.020009
482,-1.801e-05,24.6323,-0.01819
483,-1.694e-05,24.6365,-0.01819
484,-1.618e-05,24.6418,-0.01819
485,-1.623e-05,24.6444,-0.01819
486,-1.691e-05,24.645,-0.020009
487,-1.785e-05,24.6467,-0.023647
488,-1.895e-05,24.6461,-0.023647
489,-1.956e-05,24.6448,-0.023647
490,-1.93e-05,24.6482,-0.021828
491,-1.894e-05,24.6577,-0.020009
492,-1.876e-05,24.6707,-0.021828
493,-1.793e-05,24.6814,-0.021828
494,-1.606e-05,24.687,-0.021828
495,-1.414e-05,24.6937,-0.021828
496,-1.32e-05,24.7043,-0.020009
497,-1.349e-05,24.7154,-0.020009
498,-1.475e-05,24.7272,-0.021828
499,-1.67e-05,24.7372,-0.023647
500,-1.823e-05,24.7397,-0.025466
501,-1.728e-05,24.7362,-0.025466
502,-1.422e-05,24.733,-0.029104
503,-1.127e-05,24.7325,-0.030923
504,-1.015e-05,24.726,-0.032742
505,-1.092e-05,24.7059,-0.032742
506,-1.223e-05,24.6822,-0.034561
507,-1.319e-05,24.6699,-0.038199
508,-1.367e-05,24.6701,-0.041837
509,-1.387e-05,24.6743,-0.041837
510,-1.457e-05,24.6751,-0.041837
511,-1.592e-05,24.6737,-0.038199
512,-1.679e-05,24.6739,-0.038199
513,-1.657e-05,24.6777,-0.038199
514,-1.621e-05,24.6851,-0.040018
515,-1.665e-05,24.6933,-0.040018
516,-1.749e-05,24.7026,-0.043656
517,-1.81e-05,24.7058,-0.045475
518,-1.809e-05,24.6967,-0.047294
519,-1.729e-05,24.6859,-0.049113
520,-1.57e-05,24.683,-0.049113
521,-1.362e-05,24.6867,-0.050932
522,-1.181e-05,24.6906,-0.050932
523,-1.117e-05,24.6889,-0.052751
524,-1.18e-05,24.6843,-0.05457
525,-1.293e-05,24.6789,-0.05457
526,-1.382e-05,24.6675,-0.05457
527,-1.456e-05,24.6548,-0.056389
528,-1.585e-05,24.652,-0.060027
529,-1.725e-05,24.6595,-0.065484
530,-1.804e-05,24.667,-0.067303
531,-1.836e-05,24.6641,-0.069122
532,-1.869e-05,24.6539,-0.069122
533,-1.984e-05,24.6458,-0.069122
534,-2.162e-05,24.6398,-0.070941
535,-2.221e-05,24.6315,-0.07276
536,-2.084e-05,24.6217,-0.07276
537,-1.891e-05,24.6129,-0.074579
538,-1.851e-05,24.6056,-0.074579
539,-1.98e-05,24.6026,-0.076398
540,-2.062e-05,24.6049,-0.074579
541,-2.027e-05,24.6046,-0.074579
542,-1.97e-05,24.5932,-0.074579
543,-1.962e-05,24.5737,-0.076398
544,-2.036e-05,24.5582,-0.078217
545,-2.159e-05,24.5515,-0.080036
546,-2.285e-05,24.55,-0.081855
547,-2.411e-05,24.551,-0.081855
548,-2.517e-05,24.5535,-0.081855
549,-2.572e-05,24.557,-0.083674
550,-2.632e-05,24.5604,-0.085493
551,-2.682e-05,24.5609,-0.087312
552,-2.61e-05,24.5484,-0.089131
553,-2.493e-05,24.5216,-0.09095
554,-2.432e-05,24.4937,-0.092769
555,-2.358e-05,24.4773,-0.092769
556,-2.306e-05,24.4746,-0.09095
557,-2.319e-05,24.4743,-0.09095
558,-2.283e-05,24.4708,-0.092769
559,-2.191e-05,24.4638,-0.092769
560,-2.188e-05,24.4507,-0.092769
561,-2.268e-05,24.4319,-0.092769
562,-2.337e-05,24.4124,-0.092769
563,-2.397e-05,24.3963,-0.092769
564,-2.444e-05,24.387,-0.094588
565,-2.435e-05,24.3877,-0.098226
566,-2.376e-05,24.3955,-0.101864
567,-2.261e-05,24.4063,-0.103683
568,-2.125e-05,24.4149,-0.103683
569,-2.076e-05,24.4181,-0.105502
570,-2.036e-05,24.4171,-0.105502
571,-1.941e-05,24.4112,-0.105502
572,-1.907e-05,24.399,-0.105502
573,-1.96e-05,24.3838,-0.103683
574,-2.029e-05,24.3699,-0.103683
575,-2.047e-05,24.3615,-0.103683
576,-2.001e-05,24.3623,-0.105502
577,-1.955e-05,24.3626,-0.105502
