,Rotation,Base moment [kN.m],Axial_Disp. [mm]
324,6.11e-06,23.3592,-0.100045
325,5.4e-06,23.3533,-0.100045
326,3.97e-06,23.3516,-0.100045
327,1.88e-06,23.3598,-0.101864
328,2.3e-07,23.3824,-0.103683
329,-9.2e-07,23.4085,-0.105502
330,-1.79e-06,23.4265,-0.105502
331,-2.91e-06,23.4341,-0.105502
332,-4.36e-06,23.4321,-0.107321
333,-4.26e-06,23.4305,-0.107321
334,-1.88e-06,23.4286,-0.107321
335,9.3e-07,23.4183,-0.107321
336,2.73e-06,23.3969,-0.107321
337,3.32e-06,23.3651,-0.107321
338,3.43e-06,23.3408,-0.107321
339,2.85e-06,23.3362,-0.107321
340,1.21e-06,23.34,-0.107321
341,4e-07,23.3409,-0.107321
342,7.9e-07,23.3404,-0.10914
343,4.7e-07,23.3418,-0.10914
344,-4.8e-07,23.3439,-0.110959
345,-5.3e-07,23.3453,-0.112778
346,3e-07,23.3479,-0.112778
347,1.02e-06,23.351,-0.112778
348,1.14e-06,23.349,-0.114597
349,1.2e-06,23.3444,-0.116416
350,1.86e-06,23.338,-0.116416
351,2.2e-06,23.3295,-0.116416
352,1.6e-06,23.3252,-0.116416
353,6.3e-07,23.3238,-0.116416
354,-7.5e-07,23.3243,-0.114597
355,-1.94e-06,23.3305,-0.112778
356,-2e-06,23.3385,-0.112778
357,-9.6e-07,23.3411,-0.114597
358,8.2e-07,23.3385,-0.116416
359,2.29e-06,23.3336,-0.118235
360,2.98e-06,23.3313,-0.118235
361,3.07e-06,23.3327,-0.118235
362,2.62e-06,23.3355,-0.120054
363,2.33e-06,23.3377,-0.120054
364,2.8e-06,23.3354,-0.121873
365,3.94e-06,23.3256,-0.121873
366,4.84e-06,23.3121,-0.123692
367,4.72e-06,23.3056,-0.123692
368,3.62e-06,23.3041,-0.123692
369,1.52e-06,23.3029,-0.12733
370,-1.17e-06,23.3109,-0.129149
371,-3.31e-06,23.3247,-0.129149
372,-4.17e-06,23.3283,-0.125511
373,-3.97e-06,23.3177,-0.120054
374,-3.5e-06,23.2991,-0.118235
375,-3.33e-06,23.2855,-0.116416
