,Rotation,Base moment [kN.m],Axial_Disp. [mm]
225,-3.64e-06,23.8533,-0.105502
226,-4.05e-06,23.8334,-0.105502
227,-4.93e-06,23.8223,-0.105502
228,-6.14e-06,23.8168,-0.107321
229,-6.6e-06,23.8166,-0.10914
230,-6.35e-06,23.8171,-0.110959
231,-5.88e-06,23.8123,-0.110959
232,-5.45e-06,23.8041,-0.110959
233,-5.02e-06,23.8014,-0.10914
234,-4.56e-06,23.8086,-0.110959
235,-4.76e-06,23.8163,-0.110959
236,-5.96e-06,23.8156,-0.112778
237,-7.25e-06,23.8105,-0.114597
238,-7.68e-06,23.8064,-0.116416
239,-7.44e-06,23.8067,-0.118235
240,-7.23e-06,23.8165,-0.121873
241,-7.35e-06,23.8287,-0.121873
242,-7.51e-06,23.8282,-0.121873
243,-7.38e-06,23.8175,-0.120054
244,-7e-06,23.8086,-0.118235
245,-6.63e-06,23.802,-0.118235
246,-6.72e-06,23.7927,-0.118235
247,-7.41e-06,23.7835,-0.118235
248,-8.42e-06,23.7754,-0.118235
249,-9.56e-06,23.7599,-0.120054
250,-1.03e-05,23.739,-0.123692
251,-9.83e-06,23.7213,-0.125511
252,-8.16e-06,23.706,-0.12733
253,-6.45e-06,23.6945,-0.12733
254,-5.02e-06,23.6867,-0.12733
255,-3.43e-06,23.675,-0.125511
256,-2.61e-06,23.6562,-0.125511
257,-3.67e-06,23.631,-0.125511
258,-6.07e-06,23.6014,-0.125511
259,-8.15e-06,23.5752,-0.123692
260,-9.13e-06,23.5551,-0.125511
261,-9.47e-06,23.5344,-0.125511
262,-9.34e-06,23.513,-0.12733
263,-8.62e-06,23.4883,-0.12733
264,-7.4e-06,23.455,-0.129149
265,-5.98e-06,23.4208,-0.12733
266,-4.76e-06,23.3869,-0.12733
267,-4.21e-06,23.3423,-0.12733
268,-4.67e-06,23.287,-0.12733
269,-5.66e-06,23.2272,-0.12733
270,-6.57e-06,23.1637,-0.12733
271,-7.68e-06,23.0984,-0.12733
272,-9.07e-06,23.0326,-0.12733
273,-1.062e-05,22.9675,-0.129149
274,-1.232e-05,22.9113,-0.129149
275,-1.36e-05,22.8645,-0.130968
276,-1.361e-05,22.8156,-0.130968
277,-1.194e-05,22.7594,-0.130968
278,-9.36e-06,22.7024,-0.130968
279,-6.84e-06,22.6481,-0.132787
280,-4.73e-06,22.5997,-0.134606
281,-3.87e-06,22.5603,-0.138244
282,-4.24e-06,22.5236,-0.138244
283,-5.14e-06,22.4847,-0.138244
284,-6.04e-06,22.4498,-0.140063
285,-6.76e-06,22.421,-0.138244
286,-7.25e-06,22.3925,-0.138244
287,-7.64e-06,22.3627,-0.138244
288,-8.32e-06,22.3388,-0.136425
289,-8.69e-06,22.3319,-0.134606
290,-7.9e-06,22.3368,-0.132787
291,-6.18e-06,22.3432,-0.132787
292,-4.78e-06,22.3496,-0.134606
293,-4.42e-06,22.3564,-0.136425
294,-4.88e-06,22.3664,-0.138244
