,Time[sec],Top_Inplane_Disp[mm]
426,42.4335937,0.000971909
427,42.5332031,2.79e-05
428,42.6328125,0.001534359
429,42.7324219,-0.002421362
430,42.8320312,0.000849069
431,42.9316406,1.02e-05
432,43.03125,0.000645201
433,43.1308594,0.00272674
434,43.2304687,-0.00162664
435,43.3300781,0.001164294
436,43.4296875,0.001681705
437,43.5292969,1.04e-05
438,43.6289062,0.003421466
439,43.7285156,-0.001974481
440,43.828125,0.002920797
441,43.9277344,-0.001807759
442,44.0273437,0.004154047
443,44.1269531,-0.004262374
444,44.2265625,-0.001633026
445,44.3261719,0.001317329
446,44.4257812,-0.001361401
447,44.5253906,0.001244743
448,44.625,-0.002419217
449,44.7246094,0.003098313
450,44.8242187,2.26e-05
451,44.9238281,0.002330346
452,45.0234375,0.003477222
453,45.1230469,-0.000242692
454,45.2226562,0.002967376
455,45.3222656,-0.000105662
456,45.421875,-5.02e-05
457,45.5214844,-0.001294194
458,45.6210937,0.002196842
459,45.7207031,5.77e-05
460,45.8203125,-0.000303212
461,45.9199219,0.003937808
462,46.0195312,-0.002566148
463,46.1191406,-0.001084499
464,46.21875,0.001770069
465,46.3183594,0.002647249
466,46.4179687,9.84e-05
467,46.5175781,-0.002141312
468,46.6171875,0.001118637
469,46.7167969,-0.001835871
470,46.8164062,-0.001177358
471,46.9160156,0.001489203
472,47.015625,-0.001019559
473,47.1152344,0.001965257
474,47.2148437,0.000934456
475,47.3144531,0.00512573
476,47.4140625,-0.001819785
477,47.5136719,-0.001985232
478,47.6132812,0.000182785
479,47.7128906,0.001407902
480,47.8125,8.72e-05
481,47.9121094,0.000784866
482,48.0117187,0.001066921
483,48.1113281,-0.000253981
484,48.2109375,-0.001468297
485,48.3105469,0.00306488
486,48.4101562,0.003052504
487,48.5097656,-0.001204313
488,48.609375,-4.57e-05
489,48.7089844,0.00309882
490,48.8085937,0.000544853
491,48.9082031,-0.001579735
492,49.0078125,-0.001693725
493,49.1074219,-0.000596729
494,49.2070312,0.001485499
495,49.3066406,0.002160524
496,49.40625,0.005860597
497,49.5058594,-0.00109815
498,49.6054687,-0.000586927
499,49.7050781,0.002465908
500,49.8046875,0.002139449
501,49.9042969,0.002982876
502,50.0039062,0.000766624
503,50.1035156,0.000950233
504,50.203125,0.002822558
505,50.3027344,-0.000499795
506,50.4023437,0.004291554
507,50.5019531,-0.00206806
508,50.6015625,0.002543048
509,50.7011719,-0.003417448
510,50.8007812,-0.000506754
511,50.9003906,0.00158148
512,51.0,0.002927277
513,51.0996094,0.005047498
514,51.1992187,-0.004118357
515,51.2988281,0.004064615
516,51.3984375,-0.00027111
517,51.4980469,0.001967494
518,51.5976562,-0.000690752
519,51.6972656,0.000112315
520,51.796875,0.004537314
521,51.8964844,-0.000633942
522,51.9960937,0.003130206
523,52.0957031,-0.000903571
524,52.1953125,0.000255094
525,52.2949219,-0.002589226
526,52.3945312,0.004458638
527,52.4941406,0.003505401
528,52.59375,-0.002490396
529,52.6933594,0.000552681
530,52.7929687,-0.005398671
531,52.8925781,0.002154086
532,52.9921875,-0.002325558
533,53.0917969,-0.001536557
534,53.1914062,-0.000105229
535,53.2910156,-0.001806906
536,53.390625,0.001063962
537,53.4902344,0.002298785
538,53.5898437,-0.000401028
539,53.6894531,-0.001601658
540,53.7890625,4.63e-05
