,Time[sec],Top_Inplane_Disp[mm],Top_Inplane_Rotation[%rad]
606,60.36328125,4.995170981,-0.1144666
607,60.46289063,5.035630427,-0.1154184
608,60.5625,5.070347339,-0.1163115
609,60.66210938,5.118095782,-0.1172328
610,60.76171875,5.158033688,-0.1181621
611,60.86132813,5.197115242,-0.1190711
612,60.9609375,5.23011107,-0.1200009
613,61.06054688,5.27323084,-0.1209364
614,61.16015625,5.314762704,-0.1218662
615,61.25976563,5.355950445,-0.1227213
616,61.359375,5.392291117,-0.1236468
617,61.45898438,5.430950783,-0.1245788
618,61.55859375,5.474333651,-0.1254992
619,61.65820313,5.517676473,-0.1264285
620,61.7578125,5.555544514,-0.1273627
621,61.85742188,5.5935774,-0.1282948
622,61.95703125,5.63443359,-0.1291662
623,62.05664063,5.672468804,-0.1300559
624,62.15625,5.712231621,-0.1310319
625,62.25585938,5.754010752,-0.1319615
626,62.35546875,5.794431549,-0.1328858
627,62.45507813,5.833103787,-0.1337989
628,62.5546875,5.874733906,-0.1347331
629,62.65429688,5.910963751,-0.1355983
630,62.75390625,5.947749596,-0.1365316
631,62.85351559,5.993244238,-0.1373989
632,62.95312499,6.032153033,-0.1383581
633,63.05273439,6.070964504,-0.1393073
634,63.15234379,6.11470174,-0.1402071
635,63.25195309,6.152306683,-0.1411189
636,63.35156249,6.195670459,-0.1420277
637,63.45117189,6.236235611,-0.1429508
638,63.55078129,6.27278816,-0.143899
639,63.65039059,6.314147729,-0.1448252
640,63.74999999,6.351963617,-0.1457364
641,63.84960939,6.389185321,-0.1466596
642,63.94921879,6.433948409,-0.147532
643,64.04882809,6.476334762,-0.1484569
644,64.14843749,6.5153162,-0.1493924
645,64.24804689,6.552896928,-0.1502927
646,64.34765629,6.592953578,-0.1512495
647,64.44726559,6.635960657,-0.1521731
648,64.54687499,6.674520671,-0.1530589
649,64.64648439,6.71163993,-0.1539402
650,64.74609379,6.753556896,-0.1548747
651,64.84570309,6.794569548,-0.1558012
652,64.94531249,6.834165659,-0.1567846
653,65.04492189,6.872453261,-0.1576936
654,65.14453129,6.915059406,-0.1585809
