,Time[sec],Top_Inplane_Disp[mm]
418,83.68164063,8.068640716
419,83.88183594,8.088678122
420,84.08203125,8.105160668
421,84.28222656,8.124981076
422,84.48242188,8.146723732
423,84.68261719,8.16981215
424,84.8828125,8.183674887
425,85.08300781,8.204491809
426,85.28320313,8.229963481
427,85.48339844,8.24734848
428,85.68359375,8.260747418
429,85.88378906,8.287847973
430,86.08398438,8.305122145
431,86.28417969,8.322620764
432,86.484375,8.342352696
433,86.68457031,8.368362673
434,86.88476563,8.383983746
435,87.08496094,8.407318965
436,87.28515625,8.426923305
437,87.48535156,8.446668275
438,87.68554688,8.471222594
439,87.88574219,8.487924002
440,88.0859375,8.51207599
441,88.28613281,8.523451164
442,88.48632813,8.547864854
443,88.68652344,8.567349985
444,88.88671875,8.583426476
445,89.08691406,8.606249467
446,89.28710938,8.630847558
447,89.48730469,8.647226728
448,89.6875,8.666204289
449,89.88769531,8.681513369
450,90.08789063,8.708126843
451,90.28808594,8.728491142
452,90.48828125,8.744535968
453,90.68847656,8.766476065
454,90.88867188,8.78355559
455,91.08886719,8.806827478
456,91.2890625,8.827128448
457,91.48925781,8.852741681
458,91.68945313,8.867207915
459,91.88964844,8.884736337
460,92.08984375,8.910503238
461,92.29003906,8.926040493
462,92.49023438,8.945708163
463,92.69042969,8.96982383
464,92.890625,8.985599503
465,93.09082031,9.005375206
466,93.29101563,9.031238966
467,93.49121094,9.04611405
468,93.69140625,9.068485349
469,93.89160156,9.083850309
470,94.09179688,9.108127095
471,94.29199219,9.126272984
472,94.4921875,9.144943208
473,94.69238281,9.166480042
474,94.89257813,9.188389406
475,95.09277344,9.20649711
476,95.29296875,9.226430207
477,95.49316406,9.249052033
478,95.69335938,9.262564592
479,95.89355469,9.285184555
480,96.09375,9.307538159
481,96.29394531,9.324574843
482,96.49414063,9.348344989
483,96.69433594,9.362139739
484,96.89453125,9.382298216
485,97.09472656,9.407217614
486,97.29492188,9.4280513
487,97.49511719,9.452304803
488,97.6953125,9.470968507
489,97.89550781,9.488838725
490,98.09570313,9.505976923
491,98.29589844,9.529786184
492,98.49609375,9.546588175
493,98.69628906,9.566529654
494,98.89648438,9.58714541
495,99.09667969,9.606014006
496,99.296875,9.630959481
497,99.49707031,9.640065022
498,99.69726563,9.669342078
499,99.89746094,9.686327539
500,100.0976563,9.709964506
501,100.2978516,9.725404903
502,100.4980469,9.749641642
503,100.6982422,9.765893221
504,100.8984375,9.78665147
505,101.0986328,9.810870513
506,101.2988281,9.829327464
507,101.4990234,9.85009037
508,101.6992188,9.865017608
509,101.8994141,9.887333959
510,102.0996094,9.904529899
511,102.2998047,9.925467893
512,102.5,9.947340004
513,102.7001953,9.967285208
514,102.9003906,9.986632504
515,103.1005859,10.01119055
516,103.3007813,10.02861839
517,103.5009766,10.04020218
518,103.7011719,10.07114165
519,103.9013672,10.08767914
520,104.1015625,10.10990888
521,104.3017578,10.12962125
522,104.5019531,10.1537928
523,104.7021484,10.16725972
524,104.9023438,10.18430293
525,105.1025391,10.211532
526,105.3027344,10.22490859
527,105.5029297,10.24511922
528,105.703125,10.27129963
529,105.9033203,10.28616354
530,106.1035156,10.30778605
531,106.3037109,10.32406185
532,106.5039063,10.3428876
533,106.7041016,10.36317926
534,106.9042969,10.38927119
535,107.1044922,10.40787995
536,107.3046875,10.42850874
537,107.5048828,10.44741739
538,107.7050781,10.46338212
539,107.9052734,10.48673876
540,108.1054688,10.51012892
541,108.3056641,10.52908506
542,108.5058594,10.54942235
543,108.7060547,10.56429092
544,108.90625,10.58719773
545,109.1064453,10.60909312
546,109.3066406,10.62747184
547,109.5068359,10.64888295
548,109.7070313,10.66626981
549,109.9072266,10.68755426
550,110.1074219,10.71007643
551,110.3076172,10.7272435
552,110.5078125,10.75171679
553,110.7080078,10.76631155
554,110.9082031,10.79044119
555,111.1083984,10.80923621
556,111.3085938,10.83073299
557,111.5087891,10.84999368
558,111.7089844,10.87327953
559,111.9091797,10.89045312
560,112.109375,10.91128029
561,112.3095703,10.92928834
562,112.5097656,10.94844565
563,112.7099609,10.97081788
564,112.9101563,10.98955888
565,113.1103516,11.01008244
566,113.3105469,11.0279806
567,113.5107422,11.05233934
568,113.7109375,11.06994413
569,113.9111328,11.08962763
570,114.1113281,11.1102527
571,114.3115234,11.13376021
572,114.5117188,11.15284581
573,114.7119141,11.17355749
574,114.9121094,11.19074412
575,115.1123047,11.20895706
576,115.3125,11.23187505
577,115.5126953,11.24589611
578,115.7128906,11.27159037
579,115.9130859,11.28702518
580,116.1132813,11.31109335
581,116.3134766,11.32969651
582,116.5136719,11.34794392
583,116.7138672,11.36822253
584,116.9140625,11.38954889
585,117.1142578,11.41116396
586,117.3144531,11.42869797
587,117.5146484,11.44927647
588,117.7148438,11.46634389
589,117.9150391,11.48708258
590,118.1152344,11.50817145
591,118.3154297,11.52992249
592,118.515625,11.54852286
593,118.7158203,11.57080289
594,118.9160156,11.58607844
595,119.1162109,11.60845719
596,119.3164063,11.63110137
597,119.5166016,11.64920256
598,119.7167969,11.67157944
599,119.9169922,11.69092115
600,120.1171875,11.71093434
601,120.3173828,11.7294183
602,120.5175781,11.75085269
603,120.7177734,11.76932454
604,120.9179688,11.78731024
605,121.1181641,11.81293838
606,121.3183594,11.82745118
607,121.5185547,11.84941363
608,121.71875,11.86698209
609,121.9189453,11.88695338
610,122.1191406,11.91169675
611,122.3193359,11.92756929
612,122.5195313,11.94842253
613,122.7197266,11.96823362
614,122.9199219,11.99387666
615,123.1201172,12.01302279
616,123.3203125,12.03105785
617,123.5205078,12.05290109
618,123.7207031,12.07347121
619,123.9208984,12.09272072
620,124.1210938,12.10736576
621,124.3212891,12.13108376
622,124.5214844,12.15012278
623,124.7216797,12.16888241
624,124.921875,12.18386181
